"CASN"	"Compound"	"Assay"	"Endpoint"	"S9"	"BMR"	"EXP_loglik"	"EXP_AIC"	"EXP_BMDL"	"EXP_BMD"	"EXP_BMDU"	"HILL_loglik"	"HILL_AIC"	"HILL_BMDL"	"HILL_BMD"	"HILL_BMDU"	"GEO_BMDL"	"GEO_BMD"	"GEO_BMDU"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II"	"TA98"	"-"	0.1	-13.56	37.12	0.00594	15	1380	-13.56	37.12	0.00541	15	1460	"0.00566880939880677"	"15"	"1419.43650791432"
"24292-52-2"	"Hesperidin methyl chalcone"	"CometChip"	"% DNA in tail"	"-"	0.1	14.12	-18.24	555	1800	2440	13.54	-17.08	147	1600	2560	"285.630880683444"	"1697.05627484771"	"2499.27989629013"
"24292-52-2"	"Hesperidin methyl chalcone"	"MicroFlow"	"% Micronucleus"	"-"	0.1	0.78	8.44	6.98	49	97.9	1.15	7.7	10.9	47	92.8	"8.72249964173115"	"47.9895822028073"	"95.315895841145"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"%Cytotoxicity"	"-"	0.1	-0.02	10.04	4.21	14	77.2	1.8	6.4	8.79	18	68.5	"6.08324748797877"	"15.8745078663875"	"72.7200110010993"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.1	14.81	-19.62	430	470	494	12.44	-14.88	400	450	488	"414.728827066554"	"459.891291502677"	"490.990834945012"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr p53 shift"	"-"	0.1	21.38	-32.76	359	400	426	20.56	-31.12	372	390	408	"365.442197891814"	"394.96835316263"	"416.902866384965"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr p-H3"	"-"	0.1	1.7	6.6	475	620	766	0.76	8.48	374	600	845	"421.485468314152"	"609.918027279076"	"804.530919231822"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr Polyploidy"	"-"	0.1	-1.92	13.84	210	300	360	-2.16	14.32	203	290	360	"206.470336852537"	"294.957624075053"	"360"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.1	10.18	-10.36	NA	NA	NA	10.18	-10.36	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr p53 shift"	"-"	0.1	18.51	-27.02	217	580	688	17.8	-25.6	135	550	704	"171.157821907151"	"564.800849857718"	"695.95402146981"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr p-H3"	"-"	0.1	-1.94	13.88	NA	NA	NA	-2.14	14.28	NA	NA	NA	"NA"	"NA"	"NA"
"66-27-3"	"Methyl methanesulfonate"	"Ames II TAMI"	"TAMIX"	"+"	0.1	-22.55	55.1	7.23	19	22.9	-23.06	56.12	7.76	14	19.6	"7.49031374509773"	"16.3095064303001"	"21.1858443305902"
"66-27-3"	"Methyl methanesulfonate"	"Ames II TAMI"	"TAMIX"	"-"	0.1	-19.73	49.46	8.56	20	24.2	-20.15	50.3	8.89	15	21.5	"8.72343968856322"	"17.3205080756888"	"22.8100854886605"
"66-27-3"	"Methyl methanesulfonate"	"Ames II"	"TA98"	"+"	0.1	-19.05	48.1	5.48	20	26.4	-19.17	48.34	6.27	15	24	"5.86170623624214"	"17.3205080756888"	"25.1714123560836"
"66-27-3"	"Methyl methanesulfonate"	"Ames II"	"TA98"	"-"	0.1	-10.2	30.4	1.56	10	25.1	-10.2	30.4	1.91	9.9	22.6	"1.72615178938586"	"9.9498743710662"	"23.81722066069"
"66-27-3"	"Methyl methanesulfonate"	"CometChip"	"% DNA in tail"	"-"	0.1	10.2	-10.4	12.7	35	81.9	10.2	-10.4	12.7	35	81.9	"12.7"	"35"	"81.9"
"66-27-3"	"Methyl methanesulfonate"	"MicroFlow"	"% Micronucleus"	"-"	0.1	-29.09	68.18	0.495	1.4	2.85	-29.09	68.18	0.495	1.4	2.85	"0.495"	"1.4"	"2.85"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"%Cytotoxicity"	"-"	0.1	7.21	-4.42	0.000602	0.18	3.89	7.21	-4.42	0.000602	0.18	1.44	"0.000602"	"0.18"	"2.36676995079792"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.1	19.08	-28.16	0.575	1.3	2.48	17.27	-24.54	0.917	2.1	3.87	"0.726137039407852"	"1.65227116418583"	"3.09799935442214"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr p53 shift"	"-"	0.1	34.03	-58.06	7.04	9.6	12.6	30.82	-51.64	7.34	11	14.7	"7.18843515655528"	"10.2761860629321"	"13.6095554666565"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr p-H3"	"-"	0.1	0.66	8.68	0.499	4.2	13.4	0.06	9.88	0.842	6.7	20.2	"0.64819595802504"	"5.30471488394994"	"16.452355454463"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr Polyploidy"	"-"	0.1	1.36	7.28	0.000687	0.11	27.3	1.36	7.28	0.000174	0.11	27.3	"0.000345742678881274"	"0.11"	"27.3"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.1	42.11	-74.22	1.4	2.1	3.01	42.26	-74.52	1.63	2.5	3.58	"1.51062900806254"	"2.29128784747792"	"3.28265136741628"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr p53 shift"	"-"	0.1	46.85	-83.7	51.6	62	71.5	47.05	-84.1	52.4	62	71.4	"51.9984615157026"	"62"	"71.4499825052463"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr p-H3"	"-"	0.1	-1.83	13.66	0.233	9.2	48.5	-2.32	14.64	0.157	9.1	41.1	"0.191261600955341"	"9.1498633869583"	"44.6469483839601"
"66-27-3"	"Methyl methanesulfonate"	"TGR FE1"	"Mutation Frequency"	"-"	0.1	11.78	-13.56	0.655	26	354	11.74	-13.48	0.651	22	386	"0.652996937205681"	"23.9165214862028"	"369.653892174829"
"66-27-3"	"Methyl methanesulfonate"	"TGR FE1"	"Mutation Frequency"	"-"	0.15	11.78	-13.56	2.32	65	540	11.74	-13.48	2.18	57	544	"2.2489108474993"	"60.8687111741328"	"541.996309950538"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II TAMI"	"TAMIX"	"+"	0.15	-31.73	73.46	6400	20000	22700	-32.24	74.48	6940	12000	18600	"6664.53299189073"	"15491.9333848297"	"20547.9926026851"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II TAMI"	"TAMIX"	"-"	0.15	-24.19	58.38	23.4	190	282	-24.33	58.66	46.2	180	265	"32.8797810211686"	"184.932420089069"	"273.367883995176"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II"	"TA98"	"+"	0.15	-27.83	65.66	2700	5900	7460	-28.55	67.1	2630	4300	6690	"2664.77015894429"	"5036.86410378521"	"7064.51696862567"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II"	"TA98"	"-"	0.15	-29.84	69.68	2230	5600	7140	-30.62	71.24	2270	3900	6180	"2249.91110935521"	"4673.32857821917"	"6642.68018197474"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"CometChip"	"% DNA in tail"	"-"	0.15	16.25	-22.5	50.9	74	99.4	16.78	-23.56	58.8	85	113	"54.7075863112238"	"79.3095202355934"	"105.982073955929"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MicroFlow"	"% Micronucleus"	"-"	0.15	-22.54	55.08	10.8	23	36.8	-22.56	55.12	10.7	23	37.3	"10.7498837203013"	"23"	"37.0491565356082"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"%Cytotoxicity"	"-"	0.15	6.11	-2.22	5.38	19	37.2	7.2	-4.4	11.1	24	36.5	"7.7277422317259"	"21.3541565040626"	"36.8483378186859"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.15	37.55	-65.1	6.84	8.9	11.3	41.13	-72.26	9.12	11	13.1	"7.89815168251408"	"9.89444288477123"	"12.1667579905248"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr p53 shift"	"-"	0.15	36.47	-62.94	16.6	23	31.1	37.6	-65.2	18.8	26	33.3	"17.6657861415789"	"24.454038521275"	"32.1812056952501"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr p-H3"	"-"	0.15	8.33	-6.66	8.09	34	48.2	8.23	-6.46	6.1	31	48.2	"7.02488434068491"	"32.4653661614959"	"48.2"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr Polyploidy"	"-"	0.15	-9.64	29.28	NA	NA	NA	-9.75	29.5	NA	NA	NA	"NA"	"NA"	"NA"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.15	37.32	-64.64	1.71	2.8	4.22	37.93	-65.86	1.97	3.2	4.89	"1.83540186335309"	"2.99332590941915"	"4.54266441639705"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr p53 shift"	"-"	0.15	44.51	-79.02	73.2	92	113	44.51	-79.02	73.2	92	113	"73.2"	"92"	"113"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr p-H3"	"-"	0.15	2.28	5.44	93.9	180	290	0.45	9.1	146	260	290	"117.087147031602"	"216.333076527839"	"290"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"TGR FE1"	"Mutation Frequency"	"-"	0.15	12.17	-14.34	2.46	8.6	15.7	12.34	-14.68	2.86	11	21.4	"2.65247054649057"	"9.72625313263026"	"18.3297572269793"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II TAMI"	"TAMIX"	"+"	0.15	-12.18	34.36	3590	19000	28900	-12.19	34.38	4520	17000	27100	"4028.25024048904"	"17972.2007556114"	"27985.5319763624"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II TAMI"	"TAMIX"	"-"	0.15	-12.33	34.66	21.1	820	7730	-12.37	34.74	38.8	730	7160	"28.6125846438241"	"773.692445355388"	"7439.54299671694"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II"	"TA98"	"+"	0.15	-11.01	32.02	NA	NA	NA	-11.01	32.02	NA	NA	NA	"NA"	"NA"	"NA"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II"	"TA98"	"-"	0.15	-13.73	37.46	1910	6900	10700	-13.84	37.68	2140	6000	10800	"2021.73193079597"	"6434.28317685816"	"10749.8837203013"
"2835-98-5"	"2-Amino-5-methylphenol"	"CometChip"	"% DNA in tail"	"-"	0.15	9.91	-9.82	109	130	147	9.14	-8.28	109	130	144	"109"	"130"	"145.492267835786"
"2835-98-5"	"2-Amino-5-methylphenol"	"MicroFlow"	"% Micronucleus"	"-"	0.15	-10.73	31.46	NA	NA	NA	-10.73	31.46	NA	NA	NA	"NA"	"NA"	"NA"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"%Cytotoxicity"	"-"	0.15	2.83	4.34	0	0.00031	7.71	2.89	4.22	0	0.0024	9.33	"0"	"0.000862554346113913"	"8.48140908104308"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.15	14.96	-19.92	7.36	18	36.9	14.96	-19.92	7.36	18	36.9	"7.36"	"18"	"36.9"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr p53 shift"	"-"	0.15	10.73	-11.46	89.2	100	112	8.92	-7.84	80.1	98	111	"84.5276286192864"	"98.9949493661167"	"111.498878918131"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr p-H3"	"-"	0.15	5.74	-1.48	233	270	294	4.25	1.5	208	250	283	"220.145406493072"	"259.807621135332"	"288.447568892511"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr Polyploidy"	"-"	0.15	-2.5	15	33	65	97.7	-2.59	15.18	33.1	66	94.5	"33.0499621784958"	"65.4980915752513"	"96.0866796179366"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.15	4.37	1.26	78.1	100	119	3.21	3.58	61.3	98	121	"69.1919793039627"	"98.9949493661167"	"119.995833260993"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr p53 shift"	"-"	0.15	22.67	-35.34	62.3	100	152	22.67	-35.34	62.3	100	152	"62.3"	"100"	"152"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr p-H3"	"-"	0.15	-1.54	13.08	NA	NA	NA	-1.72	13.44	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II TAMI"	"TAMIX"	"+"	0.15	-18.02	46.04	NA	NA	NA	-18.05	46.1	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II TAMI"	"TAMIX"	"-"	0.15	-4.41	18.82	NA	NA	NA	-4.41	18.82	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II"	"TA98"	"+"	0.15	-15.4	40.8	NA	NA	NA	-15.41	40.82	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II"	"TA98"	"-"	0.15	-21.26	52.52	NA	NA	NA	-21.31	52.62	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"CometChip"	"% DNA in tail"	"-"	0.15	11.09	-12.18	5.2e-06	0.0099	0.0732	11.13	-12.26	5.87e-06	0.023	0.14	"5.52485293921929e-06"	"0.0150897316079511"	"0.10123240587875"
"33419-42-0"	"Etoposide"	"MicroFlow"	"% Micronucleus"	"-"	0.15	-10.67	31.34	NA	NA	NA	-9.89	29.78	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"%Cytotoxicity"	"-"	0.15	13.17	-16.34	0	2.2e-06	0.00662	13.2	-16.4	1.64e-06	0.002	0.0123	"0"	"6.6332495807108e-05"	"0.00902363563094167"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.15	18.56	-27.12	0.0293	0.038	0.047	19.99	-29.98	0.0336	0.041	0.0497	"0.0313764242704614"	"0.0394715087119811"	"0.0483311493759459"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr p53 shift"	"-"	0.15	30.68	-51.36	0.0114	0.014	0.0163	34.12	-58.24	0.0139	0.016	0.0181	"0.0125880896088326"	"0.0149666295470958"	"0.01717643734888"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr p-H3"	"-"	0.15	-2.84	15.68	0.00533	0.027	0.0647	-3.65	17.3	0.0097	0.044	0.0806	"0.007190340742969"	"0.0344673758792282"	"0.0722137106095511"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr Polyploidy"	"-"	0.15	-8.08	26.16	NA	NA	NA	-8.17	26.34	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.15	31.74	-53.48	0.0173	0.022	0.028	31.97	-53.94	0.0177	0.023	0.0288	"0.0174988571055369"	"0.022494443758404"	"0.0283971829588782"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr p53 shift"	"-"	0.15	32.46	-54.92	0.0287	0.037	0.0464	32.46	-54.92	0.0287	0.037	0.0464	"0.0287"	"0.037"	"0.0464"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr p-H3"	"-"	0.15	5.79	-1.58	0.00336	0.0095	0.0357	3.17	3.66	0.016	0.037	0.0718	"0.00733212111192934"	"0.0187483332592527"	"0.0506286480167109"
"33419-42-0"	"Etoposide"	"TGR FE1"	"Mutation Frequency"	"-"	0.15	0.98	8.04	NA	NA	NA	0.98	8.04	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II TAMI"	"TAMIX"	"+"	0.15	-15.38	40.76	NA	NA	NA	-15.38	40.76	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II TAMI"	"TAMIX"	"-"	0.15	-16.44	42.88	NA	NA	NA	-16.24	42.48	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II"	"TA98"	"+"	0.15	-18.2	46.4	NA	NA	NA	-18.2	46.4	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II"	"TA98"	"-"	0.15	-13.56	37.12	0.0301	31	2120	-13.56	37.12	0.0302	30	1660	"0.0301499585406017"	"30.4959013639538"	"1875.95309109796"
"24292-52-2"	"Hesperidin methyl chalcone"	"CometChip"	"% DNA in tail"	"-"	0.15	14.12	-18.24	872	2000	2830	13.54	-17.08	403	1900	3150	"592.803508761546"	"1949.35886896179"	"2985.7159945313"
"24292-52-2"	"Hesperidin methyl chalcone"	"MicroFlow"	"% Micronucleus"	"-"	0.15	0.78	8.44	11.5	58	109	1.15	7.7	16.3	55	104	"13.6912380740384"	"56.4800849857718"	"106.470653233649"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"%Cytotoxicity"	"-"	0.15	-0.02	10.04	5.01	16	85.1	1.8	6.4	10.1	20	75.8	"7.11343798735886"	"17.8885438199983"	"80.3155028621498"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.15	14.81	-19.62	482	520	548	12.44	-14.88	451	500	543	"466.242426211944"	"509.901951359278"	"545.494271280643"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr p53 shift"	"-"	0.15	21.38	-32.76	408	440	473	20.56	-31.12	417	440	454	"412.475453815133"	"440"	"463.402632707239"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr p-H3"	"-"	0.15	1.7	6.6	555	690	859	0.76	8.48	471	680	952	"511.27781097951"	"684.981751581748"	"904.305258195483"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr Polyploidy"	"-"	0.15	-1.92	13.84	241	330	398	-2.16	14.32	233	330	399	"236.966242321559"	"330"	"398.49968632359"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.15	10.18	-10.36	NA	NA	NA	10.18	-10.36	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr p53 shift"	"-"	0.15	18.51	-27.02	362	670	810	17.8	-25.6	274	670	878	"314.941264365278"	"670"	"843.314887808818"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr p-H3"	"-"	0.15	-1.94	13.88	NA	NA	NA	-2.14	14.28	NA	NA	NA	"NA"	"NA"	"NA"
"66-27-3"	"Methyl methanesulfonate"	"Ames II TAMI"	"TAMIX"	"+"	0.15	-22.55	55.1	9.1	21	25.5	-23.06	56.12	9.16	15	22	"9.12995071180562"	"17.7482393492988"	"23.685438564654"
"66-27-3"	"Methyl methanesulfonate"	"Ames II TAMI"	"TAMIX"	"-"	0.15	-19.73	49.46	10.6	22	27	-20.15	50.3	10.5	17	24.1	"10.5498815159223"	"19.3390796058137"	"25.5088220033776"
"66-27-3"	"Methyl methanesulfonate"	"Ames II"	"TA98"	"+"	0.15	-19.05	48.1	7.39	22	29.4	-19.17	48.34	7.85	17	26.9	"7.6165280804314"	"19.3390796058137"	"28.1222331972409"
"66-27-3"	"Methyl methanesulfonate"	"Ames II"	"TA98"	"-"	0.15	-10.2	30.4	2.7	11	28.2	-10.2	30.4	3	11	25.4	"2.84604989415154"	"11"	"26.7634078547557"
"66-27-3"	"Methyl methanesulfonate"	"CometChip"	"% DNA in tail"	"-"	0.15	10.2	-10.4	21.3	52	112	10.2	-10.4	21.3	52	112	"21.3"	"52"	"112"
"66-27-3"	"Methyl methanesulfonate"	"MicroFlow"	"% Micronucleus"	"-"	0.15	-29.09	68.18	0.716	1.8	4.78	-29.09	68.18	0.716	1.8	3.58	"0.716"	"1.8"	"4.13671367150302"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"%Cytotoxicity"	"-"	0.15	7.21	-4.42	0.00183	0.38	2.54	7.21	-4.42	0.00183	0.38	2.54	"0.00183"	"0.38"	"2.54"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.15	19.08	-28.16	0.896	1.8	3.31	17.27	-24.54	1.31	2.7	4.73	"1.08340204910273"	"2.20454076850486"	"3.9568042660713"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr p53 shift"	"-"	0.15	34.03	-58.06	9.88	13	16.1	30.82	-51.64	10	14	18	"9.93981891183134"	"13.490737563232"	"17.0235131509333"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr p-H3"	"-"	0.15	0.66	8.68	1.09	6.6	17.8	0.06	9.88	1.55	9.2	24	"1.29980767808165"	"7.79230389551126"	"20.6688170924221"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr Polyploidy"	"-"	0.15	1.36	7.28	0.00348	0.37	41.5	1.36	7.28	0.000916	0.37	41.5	"0.00178540751650709"	"0.37"	"41.5"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.15	42.11	-74.22	2.59	3.7	4.98	42.26	-74.52	2.89	4.1	5.58	"2.73589107970328"	"3.89486841883009"	"5.27147038310944"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr p53 shift"	"-"	0.15	46.85	-83.7	75	85	94.8	47.05	-84.1	75.2	85	94.2	"75.0999334220743"	"85"	"94.499523808324"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr p-H3"	"-"	0.15	-1.83	13.66	0.632	13	56	-2.32	14.64	0.407	12	46.6	"0.507172554462483"	"12.4899959967968"	"51.0842441463119"
"66-27-3"	"Methyl methanesulfonate"	"TGR FE1"	"Mutation Frequency"	"-"	0.15	11.78	-13.56	2.32	65	540	11.74	-13.48	2.18	57	544	"2.2489108474993"	"60.8687111741328"	"541.996309950538"
"66-27-3"	"Methyl methanesulfonate"	"TGR FE1"	"Mutation Frequency"	"-"	0.2	11.78	-13.56	7.63	130	751	11.74	-13.48	10.4	120	733	"8.90797395595654"	"124.899959967968"	"741.945415782051"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II TAMI"	"TAMIX"	"+"	0.2	-31.73	73.46	7720	21000	24600	-32.24	74.48	7880	14000	20300	"7799.58973280005"	"17146.4281994822"	"22346.8118531481"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II TAMI"	"TAMIX"	"-"	0.2	-24.19	58.38	28.3	200	303	-24.33	58.66	53.9	200	285	"39.0559854567773"	"200"	"293.862212609924"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II"	"TA98"	"+"	0.2	-27.83	65.66	3150	6400	8070	-28.55	67.1	2960	4700	7300	"3053.52255599987"	"5484.52368032084"	"7675.35015487893"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II"	"TA98"	"-"	0.2	-29.84	69.68	2630	6100	7730	-30.62	71.24	2550	4300	6750	"2589.69110127057"	"5121.52321092075"	"7223.3994767007"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"CometChip"	"% DNA in tail"	"-"	0.2	16.25	-22.5	63	88	116	16.78	-23.56	71.5	100	129	"67.1155719635913"	"93.8083151964686"	"122.327429466984"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MicroFlow"	"% Micronucleus"	"-"	0.2	-22.54	55.08	13.4	26	40.2	-22.56	55.12	13.3	26	40.5	"13.3499063667128"	"26"	"40.3497211886278"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"%Cytotoxicity"	"-"	0.2	6.11	-2.22	7.69	23	41.4	7.2	-4.4	14.4	28	40.7	"10.523117408829"	"25.377155080899"	"41.0485078900561"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.2	37.55	-65.1	9.14	12	14.3	41.13	-72.26	11.5	14	15.9	"10.2523168113359"	"12.9614813968157"	"15.0787930551487"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr p53 shift"	"-"	0.2	36.47	-62.94	23.8	32	40.9	37.6	-65.2	26.1	34	42.6	"24.9234829026763"	"32.9848450049413"	"41.7413464085671"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr p-H3"	"-"	0.2	8.33	-6.66	13.2	37	55.6	8.23	-6.46	10.8	35	55.5	"11.9398492452794"	"35.9861084308932"	"55.5499774977452"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr Polyploidy"	"-"	0.2	-9.64	29.28	NA	NA	NA	-9.75	29.5	NA	NA	NA	"NA"	"NA"	"NA"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.2	37.32	-64.64	2.74	4.2	6.15	37.93	-65.86	3.08	4.8	6.92	"2.90503012032578"	"4.48998886412873"	"6.52364928548431"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr p53 shift"	"-"	0.2	44.51	-79.02	103	130	149	44.51	-79.02	103	130	149	"103"	"130"	"149"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr p-H3"	"-"	0.2	2.28	5.44	120	210	322	0.45	9.1	170	290	317	"142.828568570857"	"246.779253585061"	"319.490218942615"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"TGR FE1"	"Mutation Frequency"	"-"	0.2	12.17	-14.34	3.44	11	18.8	12.34	-14.68	3.94	13	24.7	"3.68152142462868"	"11.9582607431014"	"21.5490138985523"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II TAMI"	"TAMIX"	"+"	0.2	-12.18	34.36	5150	21000	31200	-12.19	34.38	5980	18000	29600	"5549.50448238399"	"19442.2220952236"	"30389.4718611561"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II TAMI"	"TAMIX"	"-"	0.2	-12.33	34.66	51.3	1200	8620	-12.37	34.74	75.8	1000	7890	"62.3581590491573"	"1095.44511501033"	"8246.92670029266"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II"	"TA98"	"+"	0.2	-11.01	32.02	NA	NA	NA	-11.01	32.02	NA	NA	NA	"NA"	"NA"	"NA"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II"	"TA98"	"-"	0.2	-13.73	37.46	2540	7500	11500	-13.84	37.68	2740	6500	11700	"2638.10538076097"	"6982.12002188447"	"11599.5689575087"
"2835-98-5"	"2-Amino-5-methylphenol"	"CometChip"	"% DNA in tail"	"-"	0.2	9.91	-9.82	119	150	158	9.14	-8.28	119	140	155	"119"	"144.913767461894"	"156.492811336496"
"2835-98-5"	"2-Amino-5-methylphenol"	"MicroFlow"	"% Micronucleus"	"-"	0.2	-10.73	31.46	NA	NA	NA	-10.73	31.46	NA	NA	NA	"NA"	"NA"	"NA"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"%Cytotoxicity"	"-"	0.2	2.83	4.34	0	0.00047	9.98	2.89	4.22	0	0.0033	11.2	"0"	"0.00124539150470846"	"10.5724169422134"
